full_sq,life_sq,floor,max_floor,material,build_year,num_room,kitch_sq,state,product_type,sub_area,price_doc
43,27.0,4.0,,,,,,,Investment,Bibirevo,5850000
34,19.0,3.0,,,,,,,Investment,Nagatinskij Zaton,6000000
43,29.0,2.0,,,,,,,Investment,Tekstil'shhiki,5700000
89,50.0,9.0,,,,,,,Investment,Mitino,13100000
77,77.0,4.0,,,,,,,Investment,Basmannoe,16331452
67,46.0,14.0,,,,,,,Investment,Nizhegorodskoe,9100000
25,14.0,10.0,,,,,,,Investment,Sokol'niki,5500000
44,44.0,5.0,,,,,,,Investment,Bibirevo,2000000
42,27.0,5.0,,,,,,,Investment,Koptevo,5300000
36,21.0,9.0,,,,,,,Investment,Kuncevo,2000000
36,19.0,12.0,,,,,,,Investment,Kosino-Uhtomskoe,4650000
38,19.0,11.0,,,,,,,Investment,Zapadnoe Degunino,4800000
43,28.0,4.0,,,,,,,Investment,Kuncevo,5100000
31,31.0,4.0,,,,,,,Investment,Presnenskoe,5200000
31,21.0,3.0,,,,,,,Investment,Lefortovo,5000000
51,31.0,15.0,,,,,,,Investment,Mar'ino,1850000
47,31.0,4.0,,,,,,,Investment,Kuz'minki,6300000
42,28.0,2.0,,,,,,,Investment,Nagornoe,5900000
59,33.0,10.0,,,,,,,Investment,Kosino-Uhtomskoe,7900000
44,29.0,4.0,,,,,,,Investment,Gol'janovo,5200000
74,44.0,10.0,,,,,,,Investment,Vnukovo,8200000
39,39.0,7.0,,,,,,,Investment,Juzhnoe Tushino,5200000
48,34.0,6.0,,,,,,,Investment,Severnoe Tushino,6250000
32,18.0,3.0,,,,,,,Investment,Chertanovo Central'noe,5750000
34,19.0,11.0,,,,,,,Investment,Juzhnoe Tushino,6000000
45,29.0,9.0,,,,,,,Investment,Fili Davydkovo,1050000
35,20.0,4.0,,,,,,,Investment,Otradnoe,5000000
38,20.0,6.0,,,,,,,Investment,Novo-Peredelkino,4700000
73,38.0,15.0,,,,,,,OwnerOccupier,Bogorodskoe,8254400
42,27.0,3.0,,,,,,,Investment,Jaroslavskoe,5900000
40,20.0,12.0,,,,,,,Investment,Strogino,6200000
81,46.0,24.0,,,,,,,Investment,Hovrino,18300000
38,34.0,2.0,,,,,,,Investment,Bibirevo,4900000
31,18.0,4.0,,,,,,,Investment,Moskvorech'e-Saburovo,4400000
39,19.0,1.0,,,,,,,Investment,Staroe Krjukovo,3900000
39,20.0,1.0,,,,,,,Investment,Mar'ino,4850000
37,19.0,9.0,,,,,,,Investment,Ljublino,5700000
27,27.0,4.0,,,,,,,Investment,Caricyno,4300000
33,18.0,2.0,,,,,,,Investment,Veshnjaki,4500000
33,18.0,9.0,,,,,,,Investment,Veshnjaki,2000000
45,30.0,5.0,,,,,,,Investment,Danilovskoe,6200000
54,30.0,10.0,,,,,,,Investment,Caricyno,7500000
40,25.0,3.0,,,,,,,Investment,Preobrazhenskoe,5900000
59,42.0,8.0,,,,,,,Investment,Kon'kovo,9550000
77,45.0,10.0,,,,,,,Investment,Brateevo,8600000
42,22.0,24.0,,,,,,,Investment,Mitino,2312800
38,23.0,4.0,,,,,,,Investment,Vostochnoe Izmajlovo,6200000
36,18.0,5.0,,,,,,,Investment,Novo-Peredelkino,4833000
44,28.0,2.0,,,,,,,Investment,Jaroslavskoe,5300000
37,19.0,11.0,,,,,,,Investment,Zapadnoe Degunino,5150000
51,33.0,1.0,,,,,,,Investment,Caricyno,1000000
37,19.0,6.0,,,,,,,Investment,Vyhino-Zhulebino,5098000
46,29.0,9.0,,,,,,,Investment,Tekstil'shhiki,5500000
38,37.0,11.0,,,,,,,Investment,Donskoe,6000000
34,19.0,10.0,,,,,,,Investment,Ljublino,4800000
43,25.0,1.0,,,,,,,Investment,Novogireevo,5500000
56,39.0,4.0,,,,,,,Investment,Bogorodskoe,2000000
35,35.0,6.0,,,,,,,Investment,Juzhnoe Butovo,5000000
75,46.0,12.0,,,,,,,Investment,Sokol,9950000
64,44.0,14.0,,,,,,,Investment,Chertanovo Central'noe,990000
96,51.0,16.0,,,,,,,Investment,Kurkino,14000000
52,34.0,4.0,,,,,,,Investment,Izmajlovo,7200000
44,30.0,10.0,,,,,,,Investment,Preobrazhenskoe,8400000
39,39.0,10.0,,,,,,,Investment,Novogireevo,2080000
35,20.0,11.0,,,,,,,Investment,Donskoe,5750000
